;fizikiai;1;szellemi;2;vegyes;3
ISP FOOD és NFI üzemvezető;2;;;;;
szigetelő;1;;;;;
e-kereskedelmi koordinátor;2;;;;;
Zona host;1;;;;;
Kiemelt informatikai referens;2;;;;;
kontrolling vezető;2;;;;;
pénztáros hostess;1;;;;;
jogi előadó;2;;;;;
humánpolitikai vezető;2;;;;;
Karbantartási vezető;1;;;;;
Gyengeáramú hálózat szerelő;1;;;;;
toborzási munkatárs;2;;;;;
áru összekészítéséért felelős munkatárs;1;;;;;
gyártástámogató mérnök;2;;;;;
raklap válogató;1;;;;;
lakatos, hegesztő;1;;;;;
személyzeti vezető, humánpolitikai egység vezetője;2;;;;;
targoncás komissiózó;1;;;;;
associate consultant- tanácsadó munkatárs;2;;;;;
jogi asszisztens;2;;;;;
gépkocsi vezető;1;;;;;
Vásárlói kapcsolatokért felelős senior;2;;;;;
szállítási ügyintéző;1;;;;;
Épületkarbantartó technikus;1;;;;;
Kelet-Európai Kereskedelmi Vezető;2;;;;;
alkalmazott az Önkiszolgáló osztályon;1;;;;;
karbantartás vezető;1;;;;;
Titkársági referens;2;;;;;
Gépész üzemeltetési csoportvezető (3161);2;;;;;
Automatizálási technikus;2;;;;;
adminisztrációs munkatárs;2;;;;;
ügyfélintegrációs projektmenedzser;2;;;;;
customer care assistant;2;;;;;
Termékfelelős hentes osztályon;1;;;;;
asziszens;2;;;;;
irodai adminisztratív munkatárs;2;;;;;
Senior Finance Specialist GL Accounting;2;;;;;
Customer service;1;;;;;
t&e accountant;2;;;;;
manager;2;;;;;
project manager;2;;;;;
gépész szerelésvezető;1;;;;;
készletnyilvántartó;2;;;;;
szervíz karbantartó;1;;;;;
eladó / pénztárosi feladatok ellátása;1;;;;;
konyhai kisegítő;1;;;;;
szakmai referens;2;;;;;
gépjárműügyintéző, ebbefogó;1;;;;;
gyorséttermi dolgozó;1;;;;;
áruszállító;1;;;;;
gépkocsivezető, raktáros;1;;;;;
forgácsoló;1;;;;;
Trade marketing manager;2;;;;;
szervízmérnök;1;;;;;
áruház vezető;2;;;;;
Kiemelt HR munkatárs;2;;;;;
technikus;2;;;;;
Webshop sofőr;1;;;;;
Market product Specialist;2;;;;;
pultos;1;;;;;
Rooms Divison Manager;2;;;;;
panaszkezelési ügyintéző;2;;;;;
étteremvezető;1;;;;;
kiszedő raktáros;1;;;;;
adatszolg. és döntéselőkészítési referens;2;;;;;
Finompék;1;;;;;
irodai;2;;;;;
műszaki vezető;2;;;;;
nyelvi csoportvezető;2;;;;;
személyzeti vezető;2;;;;;
hostess;1;;;;;
E-ker senior manager;2;;;;;
autófényező, ügyvezető;1;;;;;
Állatorvosi asszisztens;1;;;;;
áruátvételi koordinátor;1;;;;;
létesítmény vezető;2;;;;;
senior gyártástervező;3;;;;;
Online shop csoportvezető;2;;;;;
Sous Chef;1;;;;;
irodai szakmai irányító, felügyelő;2;;;;;
műszakvezető helyettes;2;;;;;
készletellenőrzési vezető;2;;;;;
Rehabilitációs orvos-szakértői és bizottsági elnöki feladatok;3;;;;;
gyógyszergyártó üzemvezető;2;;;;;
étteremvezető helyettes I.;1;;;;;
raktárvezető helyettes;2;;;;;
tárgyi eszköz könyvelő;2;;;;;
Információs és parkolóirodai munkatárs;2;;;;;
áruátvételi adminisztrátor;2;;;;;
közterület felügyelő II;1;;;;;
készletgazdálkodási vezető;2;;;;;
AP accountant;2;;;;;
jogi igazgató/koordinációért felelős főigazgató helyettes;2;;;;;
senior informatikai szakértő;2;;;;;
kereskedelmi tervező;2;;;;;
villany szerelő;1;;;;;
projekt vezető;2;;;;;
revideáló;0;;;;;
gépész tervezőmérnök;2;;;;;
közterület-felügyelő II.;1;;;;;
karbantartő;1;;;;;
értékesítési manager;2;;;;;
informatikai referens;2;;;;;
Irodavezető Helyettes;2;;;;;
operációs vezető;2;;;;;
raklapválógató;1;;;;;
minőségbiztosítási munkatárs;2;;;;;
Pénztár-hostess/Főpénztár;1;;;;;
Customer Marketing Manager;2;;;;;
pénzügyi ügyintéző;2;;;;;
Raktári üzemvezető;1;;;;;
Bartender;1;;;;;
árufeltöltés, leltározás;1;;;;;
Project Lead;2;;;;;
Áruházi E-kereskedelmi üzemvezető;1;;;;;
tamponnyomó;1;;;;;
logosztikai vezető;2;;;;;
logisztikai csoportvezető;2;;;;;
Henkel/Gépkezelő;1;;;;;
beszerzési szakértő;2;;;;;
beszerzési koordinációs szakreferens;2;;;;;
Adminisztrátor-Logisztika;2;;;;;
ISP Áruátvétel-raktár vezető;1;;;;;
Szállítói workflow manager;2;;;;;
Üzem/Textil gépkezelő;1;;;;;
projektmenedzser;2;;;;;
termelésvezető;1;;;;;
képzési referens;2;;;;;
Ügyfélszolgálatos;2;;;;;
Informatikai menedzser;2;;;;;
hegesztő;1;;;;;
áruátvételi munkatárs;1;;;;;
eladó-pénztáros;1;;;;;
Regional Delivery Senior manager;2;;;;;
minőségügyi ellenőr;2;;;;;
egyéb magasan képzett ügyintéző;2;;;;;
Minőségügyi igazgató;2;;;;;
szakeladó, hentes;1;;;;;
létesítményvezető;2;;;;;
személyügyi előadó;2;;;;;
fordító-lektor;2;;;;;
Houseman (emeleti londiner);1;;;;;
ellátás tervezés adminisztráció;2;;;;;
humánpolitikai adminisztrátor;2;;;;;
gépjármű ügyintéző;1;;;;;
biztonsági munkatárs;1;;;;;
üzemvezető;2;;;;;
üzletfejlesztési menedzser;2;;;;;
higiéniás asszisztens;1;;;;;
logisztikai vezető;2;;;;;
Szállítmányozási asszisztens;2;;;;;
központi ügyeletes I.;2;;;;;
Ügyvezető megbizottja;2;;;;;
Ügyfélszolgálati és kormányablak feladatok;2;;;;;
Indirect Sales Manager;2;;;;;
festő;1;;;;;
Pénzügyi és számviteli munkatárs;2;;;;;
ISP FOOD és NF1 üzemvezető;2;;;;;
termékmenedzser;2;;;;;
pénzügyi asszisztens;2;;;;;
főigazgató;2;;;;;
Rehabilitációs orvos-szakértői feladatok;3;;;;;
asszisztens logisztika;2;;;;;
Üzletvezető;2;;;;;
Grill eladó (friss szektor);1;;;;;
értékesítési vezető;2;;;;;
HR adminisztrátor;2;;;;;
üzemi gyártó;1;;;;;
bolt kisegítő;1;;;;;
Senior diszpécser;2;;;;;
CIP Sales Specialist;2;;;;;
Accounts Payable Specialist;2;;;;;
nonfood vezető;2;;;;;
dekoratőr;1;;;;;
Közbeszerzési és beszerzési referens;2;;;;;
klinikai kutatási munkatárs;2;;;;;
rendszergazda;2;;;;;
Magasemelős targoncás;1;;;;;
shift manager;2;;;;;
Call center áruházi alkalmazott;2;;;;;
fedés telepítő;1;;;;;
beosztott;0;;;;;
Construction Project Manager;2;;;;;
könyvelő asszisztens;2;;;;;
adminisztrátor;2;;;;;
Benzinkút pénztár-host;1;;;;;
informatikai vezető;2;;;;;
elnök-vezérigazgató;2;;;;;
szolgálattámogató;2;;;;;
e-ker előkészítési komissiozási manager;1;;;;;
Állatorvos;3;;;;;
szolgálatellenőrzési ügyintéző II.;2;;;;;
Brand manager;2;;;;;
logisztikai asszisztens;2;;;;;
mechanikus;1;;;;;
Stratégiai referens;2;;;;;
értékesítés-tamogató munkatárs;2;;;;;
sales menedzser;2;;;;;
művezető;1;;;;;
Pék-Szakeladó;1;;;;;
beszerzési vezető;2;;;;;
környezetvédelmi munkatárs;2;;;;;
Szenior tárgyi eszköz könyvelő;2;;;;;
marketing asszistens;2;;;;;
Talent Acquisition Specialist;2;;;;;
gyógytornász;3;;;;;
ASS Housenkeeping Manager;2;;;;;
pénzügyi és számviteli referens;2;;;;;
Informatikai oktató és dokumentátor;2;;;;;
Grillpult eladó csoportvezető;1;;;;;
kereskedő tanuló;1;;;;;
irodai vezető;2;;;;;
marketing;2;;;;;
Ügyvezető helyettes;2;;;;;
tervező;2;;;;;
account manager;2;;;;;
áruátvétel-raktárvezető;1;;;;;
hatósági osztályvezető;2;;;;;
teherautó vezető;1;;;;;
mérőtechnikus szaktanácsadó;2;;;;;
eladástervező;2;;;;;
szervíztechnikus;1;;;;;
műhelyvezető;1;;;;;
